email_text,request_type,sub_request_type
"Please note that an interest payment of USD 118801.90 has been received today for value date March 31, 2025. The payment represents the interest due for the quarter ending Dec 2024. No principal was repaid at this time. We will distribute the interest to all lenders accordingly. Please update your records. Thank you for your cooperation. Please let us know if you have any questions.",Money Movement-Inbound,Principal Interest
"The Borrower has remitted interest in the amount of USD 112054.78, which we received on August 1, 2024. This covers the interest due up to June 30, 2024. The funds have been applied to the outstanding interest and have been allocated to the lenders. If you have any questions, please let us know. Thank you. We appreciate your attention to this matter.",Money Movement-Inbound,Principal Interest
"The Borrower has remitted interest in the amount of USD 169680.53, which we received on Feb 15, 2025. This covers the interest due up to February 15, 2025. The funds have been applied to the outstanding interest and have been allocated to the lenders. If you have any questions, please let us know. Thank you. We appreciate your attention to this matter.",Money Movement-Inbound,Principal Interest
"As of September 30, 2024, interest totaling USD 178283.85 has been paid by the Borrower. This payment fulfills the interest due for the last period. The funds are being processed and will be credited to lenders' accounts. Thank you for your attention to this update. Please advise if you encounter any issues. Thank you.",Money Movement-Inbound,Principal Interest
"As of April 1, 2025, interest totaling USD 222575.49 has been paid by the Borrower. This payment fulfills the interest due for the last period. The funds are being processed and will be credited to lenders' accounts. Thank you for your attention to this update. Please advise if you encounter any issues. Thank you.",Money Movement-Inbound,Principal Interest
"This is to notify you that interest of USD 14835.54 was received on May 31, 2025. The interest payment relates to loan reference LN959 and covers the accrued interest for the month of May 2025. We have updated the records to reflect this payment. No further action is needed from your side. Thank you. Please reach out if you have any questions.",Money Movement-Inbound,Principal Interest
"This is to notify you that interest of USD 51793.83 was received on Nov 30, 2024. The interest payment relates to loan reference LN948 and covers the accrued interest for the month of November 2024. We have updated the records to reflect this payment. No further action is needed from your side. Thank you. Please reach out if you have any questions.",Money Movement-Inbound,Principal Interest
"We have received a payment from the Borrower totaling USD 5066842.81 on September 15, 2024, comprising USD 4591907.24 in principal and USD 474935.57 in interest. This payment has been applied to reduce the loan balance to USD 18396564.06. All lenders will receive their pro-rata shares accordingly. Thank you. Please confirm receipt of this payment. We appreciate your cooperation. Please feel free to reach out with any questions.",Money Movement-Inbound,Principal + Interest
"We have received a payment from the Borrower totaling USD 4821003.06 on Jan 20, 2025, comprising USD 4430460.73 in principal and USD 390542.34 in interest. This payment has been applied to reduce the loan balance to USD 19688346.99. All lenders will receive their pro-rata shares accordingly. Thank you. Please confirm receipt of this payment. We appreciate your cooperation. Please feel free to reach out with any questions.",Money Movement-Inbound,Principal + Interest
"Please be advised that a combined principal and interest payment was received on April 1, 2025. The Borrower paid USD 2640957.71 towards principal and USD 372113.73 in interest. The loan balance has been updated, and interest is paid up to date. Kindly update your records to reflect this transaction. If you have any questions, please let us know. Thank you.",Money Movement-Inbound,Principal + Interest
"Please be advised that a combined principal and interest payment was received on November 30, 2024. The Borrower paid USD 4035844.05 towards principal and USD 384924.78 in interest. The loan balance has been updated, and interest is paid up to date. Kindly update your records to reflect this transaction. If you have any questions, please let us know. Thank you.",Money Movement-Inbound,Principal + Interest
"This is to notify you of a loan payment received on July 31, 2024. The payment amount is USD 2843515.78, consisting of principal of USD 2751604.95 and interest of USD 91910.83. The principal repayment reduces the outstanding to USD 14019700.44, and interest has been settled for the period. No further action is required from your side. Thank you for your cooperation.",Money Movement-Inbound,Principal + Interest
"This is to notify you of a loan payment received on Feb 28, 2025. The payment amount is USD 1385526.08, consisting of principal of USD 1298197.32 and interest of USD 87328.76. The principal repayment reduces the outstanding to USD 11966461.33, and interest has been settled for the period. No further action is required from your side. Thank you for your cooperation.",Money Movement-Inbound,Principal + Interest
"On June 30, 2024, we received a scheduled installment payment. The Borrower remitted USD 1317978.16 in principal and USD 103584.14 in accrued interest. We have applied these funds accordingly. The next payment due will be on December 31, 2024. Thank you for your attention to this update. Please confirm receipt of this payment. Thank you for your cooperation. Please let us know if you have any questions.",Money Movement-Inbound,Principal + Interest
"On Dec 31, 2024, we received a scheduled installment payment. The Borrower remitted USD 1030942.36 in principal and USD 106026.70 in accrued interest. We have applied these funds accordingly. The next payment due will be on June 30, 2025. Thank you for your attention to this update. Please confirm receipt of this payment. Thank you for your cooperation. Please let us know if you have any questions.",Money Movement-Inbound,Principal + Interest
"We confirm the receipt of a principal plus interest payment on May 10, 2025. The total payment was USD 2463068.39, allocated as USD 2226994.50 to principal and USD 236073.89 to interest. The credit facility records have been updated to reflect this payment. Please find an updated statement attached for your reference. Thank you for your attention. Please let us know if you have any questions.",Money Movement-Inbound,Principal + Interest
"We confirm the receipt of a principal plus interest payment on October 5, 2024. The total payment was USD 1946379.20, allocated as USD 1618368.98 to principal and USD 328010.22 to interest. The credit facility records have been updated to reflect this payment. Please find an updated statement attached for your reference. Thank you for your attention. Please let us know if you have any questions.",Money Movement-Inbound,Principal + Interest
"We have received a payoff from the Borrower on December 31, 2024 in the amount of USD 5080709.23. This sum consists of USD 4805030.83 in principal, USD 146894.96 in interest, and a fee of USD 128783.44. The loan has been closed out, and all obligations are now settled. No further action is required. Thank you. We appreciate your prompt cooperation.",Money Movement-Inbound,Principal Interest+Fee
"We have received a payoff from the Borrower on June 15, 2025 in the amount of USD 3962121.37. This sum consists of USD 3714753.09 in principal, USD 100497.15 in interest, and a fee of USD 147871.13. The loan has been closed out, and all obligations are now settled. No further action is required. Thank you. We appreciate your prompt cooperation.",Money Movement-Inbound,Principal Interest+Fee
"Please note receipt of funds totaling USD 5412287.52 on Oct 1, 2024. The payment includes principal of USD 5200888.86, interest of USD 133735.76, and a fee of USD 787662.90 (e.g., an early repayment fee). These amounts have been applied per the credit agreement. Kindly update your records accordingly. Thank you. We appreciate your prompt attention. Please contact us if you need any clarification.",Money Movement-Inbound,Principal Interest+Fee
"Please note receipt of funds totaling USD 5586609.40 on March 31, 2025. The payment includes principal of USD 4028613.78, interest of USD 280345.27, and a fee of USD 1277650.35 (e.g., an early repayment fee). These amounts have been applied per the credit agreement. Kindly update your records accordingly. Thank you. We appreciate your prompt attention. Please contact us if you need any clarification.",Money Movement-Inbound,Principal Interest+Fee
"This is to confirm that a payment of USD 4153891.73 was received on July 10, 2024 covering principal, interest, and fees. Specifically, USD 3343348.53 was applied to principal, USD 128985.52 to interest, and USD 682557.68 towards applicable fees. The remaining loan balance is now USD 164981.02. Please let us know if you require any additional details. Thank you.",Money Movement-Inbound,Principal Interest+Fee
"This is to confirm that a payment of USD 4467111.90 was received on Jan 5, 2025 covering principal, interest, and fees. Specifically, USD 4192952.62 was applied to principal, USD 181465.78 to interest, and USD 927693.50 towards applicable fees. The remaining loan balance is now USD 956713.15. Please let us know if you require any additional details. Thank you.",Money Movement-Inbound,Principal Interest+Fee
"On May 31, 2025, the Borrower remitted a payment inclusive of a fee. The amount received is USD 3420508.89, allocated as follows: USD 2069072.84 principal, USD 138874.24 interest, and USD 1212561.81 fee. We have updated the loan and fee ledgers accordingly. If you have any questions about this allocation, please contact us. Thank you for your cooperation. Please let us know if you have any questions.",Money Movement-Inbound,Principal Interest+Fee
"On Nov 15, 2024, the Borrower remitted a payment inclusive of a fee. The amount received is USD 2222649.96, allocated as follows: USD 1196062.17 principal, USD 119029.61 interest, and USD 905558.18 fee. We have updated the loan and fee ledgers accordingly. If you have any questions about this allocation, please contact us. Thank you for your cooperation. Please let us know if you have any questions.",Money Movement-Inbound,Principal Interest+Fee
"We acknowledge receipt of USD 1340918.71 on September 30, 2024 from the Borrower, which represents a principal repayment (USD 1227150.13), interest (USD 116605.36), and a contractually required fee (USD 0.22). This payment has been processed in full. Thank you for your prompt attention to the Borrower's payment. Please confirm receipt of this payment. Thank you for your cooperation.",Money Movement-Inbound,Principal Interest+Fee
"We acknowledge receipt of USD 2152614.83 on April 30, 2025 from the Borrower, which represents a principal repayment (USD 1633306.49), interest (USD 122212.15), and a contractually required fee (USD 397096.19). This payment has been processed in full. Thank you for your prompt attention to the Borrower's payment. Please confirm receipt of this payment. Thank you for your cooperation.",Money Movement-Inbound,Principal Interest+Fee
"Please expedite the outbound payment of USD 665091.36 to ABC Trading Co. today. This transfer is time-bound and must reach the beneficiary by 2:00 PM (local time). Ensure that the funds are released well before the cutoff to meet this deadline. Thank you for your prompt action on this matter. Please confirm once the transfer is completed. If you have any questions, please contact us.",Money Movement - Outbound,Timebound
"Please expedite the outbound payment of USD 1572112.66 to XYZ Limited today. This transfer is time-bound and must reach the beneficiary by 16:00 GMT (local time). Ensure that the funds are released well before the cutoff to meet this deadline. Thank you for your prompt action on this matter. Please confirm once the transfer is completed. If you have any questions, please contact us.",Money Movement - Outbound,Timebound
"We request that you process a time-sensitive wire transfer on December 20, 2024. The amount is USD 1865914.06, to be credited to DEF Industries Ltd, Account at First Bank. The beneficiary must receive the funds by end-of-day to fulfill contractual obligations. Kindly prioritize this payment and confirm once completed. We appreciate your prompt cooperation. If you have any questions, please contact us.",Money Movement - Outbound,Timebound
"We request that you process a time-sensitive wire transfer on April 10, 2025. The amount is USD 1105701.88, to be credited to Omega Corp (Acct #123456789). The beneficiary must receive the funds by end-of-day to fulfill contractual obligations. Kindly prioritize this payment and confirm once completed. We appreciate your prompt cooperation. If you have any questions, please contact us.",Money Movement - Outbound,Timebound
"This is an urgent request to release funds. The Borrower has instructed an outbound payment of USD 833016.20 to LMN Global on Nov 15, 2024. It is critical that the payment be executed by 3:00 PM today due to a deadline. Please confirm once the wire transfer is sent. Thank you. If you have any questions, please contact us.",Money Movement - Outbound,Timebound
"This is an urgent request to release funds. The Borrower has instructed an outbound payment of USD 776233.90 to QRS Ltd on May 5, 2025. It is critical that the payment be executed by 14:00 EST today due to a deadline. Please confirm once the wire transfer is sent. Thank you. If you have any questions, please contact us.",Money Movement - Outbound,Timebound
"Time-bound payment notice: A disbursement of USD 1199208.09 needs to be sent to HIJ Group on July 31, 2024 with high priority. The funds should be delivered by COB today. Please make the necessary arrangements and let us know once the transfer is executed. Thank you for your cooperation. Please confirm once the payment is executed. If you have any questions, please contact us.",Money Movement - Outbound,Timebound
"Time-bound payment notice: A disbursement of USD 1603961.34 needs to be sent to MegaCorp Inc. on Feb 28, 2025 with high priority. The funds should be delivered by 1400h local time. Please make the necessary arrangements and let us know once the transfer is executed. Thank you for your cooperation. Please confirm once the payment is executed. If you have any questions, please contact us.",Money Movement - Outbound,Timebound
"Urgent Payment Alert - Please process the outgoing payment of USD 936339.15 to National Bank - SWIFT NATAUS33 by 14:00 on October 1, 2024. This payment is time-bound and must arrive on time to avoid penalties. We appreciate your immediate attention and will await your confirmation of execution. Please let us know if you have any questions.",Money Movement - Outbound,Timebound
"Urgent Payment Alert - Please process the outgoing payment of USD 471397.17 to XYZ Bank, London by 17:00 on March 20, 2025. This payment is time-bound and must arrive on time to avoid penalties. We appreciate your immediate attention and will await your confirmation of execution. Please let us know if you have any questions.",Money Movement - Outbound,Timebound
"Please process an outbound payment of EUR 393839.40 (equivalent to USD 433223.34) to ACME GmbH, Frankfurt on October 20, 2024. Ensure that the foreign exchange conversion is executed at the prevailing rate and include any necessary SWIFT details. Kindly confirm once the funds have been sent. Thank you. We appreciate your prompt handling. If you have any questions or require clarification, please let us know.",Money Movement - Outbound,Foreign Currency
"Please process an outbound payment of EUR 444084.94 (equivalent to USD 488493.43) to XYZ SARL, Paris on March 15, 2025. Ensure that the foreign exchange conversion is executed at the prevailing rate and include any necessary SWIFT details. Kindly confirm once the funds have been sent. Thank you. We appreciate your prompt handling. If you have any questions or require clarification, please let us know.",Money Movement - Outbound,Foreign Currency
"We request a transfer of GBP 183679.73 to HSBC London (IBAN GB00...) on Jan 31, 2025. This is a foreign currency payment requiring conversion from USD. Please use the spot rate of 1.35 and execute the wire today. Thank you for handling this international payment promptly. Please confirm once done. We appreciate your cooperation. If you have any questions or require clarification, please let us know.",Money Movement - Outbound,Foreign Currency
"We request a transfer of GBP 78913.74 to Barclays UK, Acc #... on July 30, 2024. This is a foreign currency payment requiring conversion from USD. Please use the spot rate of 1.28 and execute the wire today. Thank you for handling this international payment promptly. Please confirm once done. We appreciate your cooperation. If you have any questions or require clarification, please let us know.",Money Movement - Outbound,Foreign Currency
"The Borrower has instructed a remittance of JPY 47437891 to Mizuho Bank Tokyo, Acct 12345, value date Nov 10, 2024. Our USD account will be debited and converted to JPY for this transfer. All charges should be charged to the sender. Please ensure timely execution and notify us upon completion. Thank you. Your cooperation is appreciated. If you have any questions or require clarification, please let us know.",Money Movement - Outbound,Foreign Currency
"The Borrower has instructed a remittance of JPY 31617663 to SMBC Tokyo, Account 98765, value date April 1, 2025. Our USD account will be debited and converted to JPY for this transfer. All charges should be charged to the sender. Please ensure timely execution and notify us upon completion. Thank you. Your cooperation is appreciated. If you have any questions or require clarification, please let us know.",Money Movement - Outbound,Foreign Currency
"As part of closing, please disburse CHF 297354.04 to the foreign account of Helvetia AG on December 5, 2024. The USD equivalent has been provided to you. Make sure to apply our standard FX fee. Let us know if you require any further information regarding this currency transfer. Thank you. Your cooperation is appreciated. If you have any questions or require clarification, please let us know.",Money Movement - Outbound,Foreign Currency
"As part of closing, please disburse CHF 210270.07 to the foreign account of PQR GmbH on June 30, 2025. The USD equivalent has been provided to you. Make sure to apply our standard FX fee. Let us know if you require any further information regarding this currency transfer. Thank you. Your cooperation is appreciated. If you have any questions or require clarification, please let us know.",Money Movement - Outbound,Foreign Currency
"Urgent: Execute an international payment of AUD 296133.64 to ABC Pty Ltd by May 20, 2025. Use funds from our USD account and convert to AUD at today's rate. This foreign currency transfer is time-sensitive, so please prioritize. We await your confirmation of the transaction. Thank you. If you have any questions or require clarification, please let us know.",Money Movement - Outbound,Foreign Currency
"Urgent: Execute an international payment of AUD 306783.43 to DEF Pty Ltd by September 1, 2024. Use funds from our USD account and convert to AUD at today's rate. This foreign currency transfer is time-sensitive, so please prioritize. We await your confirmation of the transaction. Thank you. If you have any questions or require clarification, please let us know.",Money Movement - Outbound,Foreign Currency
